customer_id,registered_date,first_order_date,days_to_first_order
C993531L,08-11-2021,23-02-2022,107
C517907L,15-08-2022,08-10-2022,54
C192625L,27-07-2021,07-08-2021,11
C225180L,11-10-2021,11-08-2021,-61
C708473L,02-07-2021,07-04-2021,-86
C504900L,17-11-2021,20-11-2021,3
C218108L,08-11-2021,11-06-2021,-150
C875194L,21-07-2021,07-06-2021,-44
C652751L,19-07-2022,25-07-2022,6
C702126L,23-09-2021,23-09-2021,0
C597119L,02-01-2022,16-04-2022,104
C356814L,13-11-2021,20-11-2021,7
C800136L,04-05-2022,05-01-2022,-119
C479992L,19-09-2021,26-09-2021,7
C872421L,25-08-2021,16-10-2021,52
C845061L,23-11-2021,07-02-2022,76
C452735L,03-11-2021,25-12-2021,52
C374625L,02-08-2021,13-08-2021,11
C908348L,13-08-2021,20-08-2021,7
C189144L,01-07-2022,07-10-2022,98
C194353L,15-07-2021,14-07-2021,-1
C149895L,20-07-2022,20-07-2022,0
C224183L,07-04-2022,16-04-2022,9
C907186L,08-05-2022,06-02-2022,-91
C809029L,08-08-2021,10-01-2021,-210
C864005L,25-07-2021,07-02-2021,-168
C850251L,22-05-2022,05-06-2022,14
C637564L,11-08-2022,08-04-2022,-125
C879144L,09-11-2021,15-11-2021,6
C837608L,19-02-2022,17-02-2022,-2
C494158L,02-09-2021,14-09-2021,12
C191776L,27-02-2022,04-01-2022,-54
C620963L,14-10-2021,20-10-2021,6
C203544L,20-11-2021,20-04-2022,151
C654928L,10-11-2021,25-11-2021,15
C529046L,01-10-2021,16-12-2021,76
C706324L,24-03-2022,03-02-2022,-49
C391618L,02-06-2022,06-01-2022,-147
C556985L,26-05-2022,05-03-2022,-82
C995184L,14-03-2022,03-01-2022,-70
C216698L,01-07-2021,31-07-2021,30
C355284L,24-08-2021,08-03-2021,-169
C615419L,20-02-2022,27-02-2022,7
C623383L,06-10-2021,12-05-2021,-147
C469416L,20-12-2021,25-12-2021,5
C774952L,05-02-2022,26-02-2022,21
C413536L,01-11-2021,29-11-2021,28
C149990L,08-12-2021,16-12-2021,8
C536383L,06-05-2022,05-07-2022,60
C307127L,03-10-2021,23-10-2021,20
C920542L,01-11-2021,11-09-2021,-51
C521347L,19-08-2021,08-09-2021,20
C642425L,11-05-2022,24-05-2022,13
C532671L,07-11-2021,01-08-2022,267
C378684L,03-07-2021,08-01-2021,-176
C215074L,13-09-2021,12-06-2021,-93
C474741L,27-01-2022,15-01-2022,-12
C405771L,06-07-2021,30-07-2021,24
C778477L,12-09-2021,14-09-2021,2
C897819L,06-08-2021,08-11-2021,94
C421614L,09-07-2021,16-05-2022,311
C127410L,03-11-2021,25-11-2021,22
C191188L,08-12-2021,13-02-2022,67
C527055L,16-07-2022,15-07-2022,-1
C297858L,20-06-2022,15-06-2022,-5
C695592L,13-07-2021,08-01-2021,-186
C256446L,28-11-2021,28-05-2022,181
C398847L,14-07-2022,17-07-2022,3
C751329L,12-09-2021,24-09-2021,12
C943270L,19-09-2021,31-12-2021,103
C720280L,28-12-2021,12-09-2021,-107
C617766L,20-07-2022,07-05-2022,-74
C752545L,17-04-2022,28-04-2022,11
C480851L,25-07-2022,07-07-2022,-18
C444616L,21-12-2021,02-09-2022,255
C958287L,15-07-2021,10-06-2021,-35
C661647L,09-11-2021,05-06-2022,208
C701732L,03-12-2021,12-08-2021,-113
C139855L,09-07-2021,11-01-2021,-179
C441523L,21-01-2022,27-01-2022,6
C697369L,19-05-2022,20-05-2022,1
C806665L,22-11-2021,17-11-2021,-5
C700603L,01-11-2021,11-05-2021,-174
C400506L,06-07-2021,29-07-2021,23
C350808L,04-11-2021,24-06-2022,232
C738725L,27-08-2021,11-02-2021,-197
C734785L,28-08-2021,08-11-2021,72
C621883L,02-07-2021,16-07-2021,14
C972737L,21-07-2021,08-03-2021,-135
C373791L,22-04-2022,04-09-2022,135
C487680L,25-09-2021,27-09-2021,2
C415016L,19-11-2021,05-01-2022,47
C219951L,23-09-2021,13-09-2021,-10
C830977L,26-05-2022,17-05-2022,-9
C503615L,15-07-2021,30-07-2022,380
C483318L,06-01-2022,22-01-2022,16
C283866L,18-07-2021,09-01-2021,-190
C899192L,13-07-2021,08-02-2021,-155
C898759L,08-09-2021,27-02-2022,172
C811261L,26-08-2021,08-06-2021,-79
C565819L,04-11-2021,28-11-2021,24
C941247L,21-09-2021,09-01-2021,-255
C846307L,09-11-2021,11-03-2021,-243
C788509L,20-07-2021,28-07-2021,8
C875936L,07-10-2021,11-07-2021,-88
C172885L,22-09-2021,03-01-2022,103
C260117L,23-12-2021,12-01-2021,-345
C522216L,12-05-2022,23-05-2022,11
C471171L,19-11-2021,01-05-2022,163
C434388L,27-12-2021,20-12-2021,-7
C245825L,18-07-2021,07-10-2021,81
C225630L,16-07-2021,14-07-2021,-2
C533639L,04-09-2021,07-03-2022,184
C980973L,27-10-2021,11-02-2021,-258
C956932L,01-03-2022,03-04-2022,33
C304970L,24-11-2021,24-12-2021,30
C948604L,22-06-2022,06-07-2022,14
C439232L,10-07-2021,17-10-2021,99
C314557L,13-05-2022,22-05-2022,9
C287848L,27-08-2021,11-01-2021,-228
C867007L,05-06-2022,30-06-2022,25
C289850L,16-04-2022,28-04-2022,12
C301066L,13-03-2022,29-03-2022,16
C266096L,09-09-2021,30-09-2021,21
C986058L,28-09-2021,09-01-2021,-262
C969119L,16-11-2021,14-03-2022,118
C942480L,24-02-2022,20-02-2022,-4
C765912L,03-10-2021,29-12-2021,87
C607344L,08-04-2022,04-01-2022,-94
C184107L,27-12-2021,12-09-2021,-106
C822607L,01-11-2021,22-02-2022,113
C670896L,12-03-2022,03-09-2022,175
C188809L,12-07-2021,22-03-2022,253
C433401L,22-08-2021,08-04-2021,-136
C517976L,13-06-2022,24-06-2022,11
C204382L,28-07-2021,28-07-2021,0
C872920L,18-09-2021,26-09-2021,8
C555245L,06-08-2021,09-08-2021,3
C363466L,24-11-2021,12-02-2021,-285
C910983L,12-09-2021,18-09-2021,6
C467527L,28-11-2021,04-04-2022,127
C598984L,16-06-2022,18-06-2022,2
C828643L,17-10-2021,20-10-2021,3
C574874L,07-03-2022,23-03-2022,16
C931442L,28-07-2021,07-04-2021,-112
C670551L,14-09-2021,29-11-2021,76
C959097L,16-08-2021,10-11-2021,86
C474548L,10-08-2021,14-08-2021,4
C500105L,03-11-2021,03-06-2022,212
C491827L,27-11-2021,12-12-2021,15
C433743L,01-07-2021,18-08-2021,48
C402534L,06-08-2021,16-08-2021,10
C864285L,20-10-2021,19-10-2021,-1
C331049L,02-01-2022,21-01-2022,19
C382868L,07-07-2021,12-06-2021,-25
C166968L,26-07-2021,17-08-2021,22
C202398L,18-08-2022,08-07-2022,-41
C323695L,02-08-2021,24-08-2021,22
C527394L,14-09-2021,09-01-2021,-248
C398810L,20-01-2022,23-01-2022,3
C358152L,24-02-2022,02-05-2022,67
C950218L,06-02-2022,02-02-2022,-4
C723722L,03-05-2022,06-12-2022,217
C994857L,25-11-2021,06-07-2022,223
C889753L,14-11-2021,11-09-2021,-64
C919222L,28-11-2021,27-11-2021,-1
C823220L,25-12-2021,22-12-2021,-3
C624730L,13-07-2021,19-07-2021,6
C998847L,03-07-2022,08-02-2022,-145
C504512L,17-11-2021,01-05-2022,165
C629570L,04-10-2021,26-03-2022,173
C441685L,22-08-2022,08-07-2022,-45
C925474L,22-07-2021,07-08-2021,16
C485693L,02-07-2021,09-07-2021,7
C479492L,19-05-2022,29-05-2022,10
C162721L,26-07-2021,08-01-2021,-199
C385646L,05-11-2021,13-08-2022,281
C807718L,15-11-2021,14-11-2021,-1
C287218L,27-08-2021,27-08-2021,0
C404192L,06-07-2021,10-01-2021,-177
C239351L,10-10-2021,25-10-2021,15
C844766L,19-09-2021,19-12-2021,91
C163688L,17-11-2021,01-02-2022,76
C483469L,26-07-2021,21-07-2021,-5
C986991L,12-12-2021,12-08-2021,-122
C954117L,18-01-2022,01-09-2022,226
C738648L,08-03-2022,16-07-2022,130
